Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Control,112,A,0.2026,,M,0.883890374,0.90324216,0.90144564,1.002819013,1.325215893,0.90324216,1.85588651,0.818753139,,,-0.045060457,0.001222559,0.122286636,-0.044195799,0.268551415,-0.086847022
Control,112,B,0.1809,,F,1.248566521,1.200125045,1.051765005,0.888777739,0.558151011,1.200125045,0.585581477,1.033353429,,,0.021918717,-0.051206832,-0.253248284,0.079226499,-0.232412669,0.014248885
Control,112,C,,,M,1.098300386,0.939425981,0.468237505,0.731566671,0.548879265,0.939425981,0.561402927,1.190444562,,,-0.329533803,-0.135746089,-0.260523175,-0.027137433,-0.250725327,0.075709175
Control,112,D,0.2101,,F,1.046282681,1.032769332,1.09833062,0.913237024,1.198497924,1.032769332,1.555209019,1.061791456,,,0.040733091,-0.03941649,0.078637286,0.014003333,0.191788766,0.026039226
Control,112,E,0.1692,,M,1.177129208,1.035158295,0.432862002,0.932426075,0.907242886,1.035158295,1.03797749,0.888740273,,,-0.363650536,-0.03038559,-0.042276429,0.015006767,0.016187935,-0.051225139
Control,112,F,0.2243,,F,0.999034233,0.913737328,0.738999726,0.675515723,0.988213094,0.913737328,1.336792141,1.126229181,,,-0.131355723,-0.170364538,-0.005149396,-0.039178633,0.126063884,0.051626776
Control,112,G,0.2081,,F,0.969473042,1.370641618,0.919855446,0.598695606,1.39673734,1.370641618,1.969653458,0.712354415,,,-0.036280416,-0.222793929,0.145114744,0.136923915,0.294389823,-0.14730388
Stress,113,A,0.1842,,F,0.774823359,0.768358444,0.698329134,0.850113821,1.198497924,0.768358444,2.179164576,0.614080815,,,-0.155939839,-0.070522923,0.078637286,-0.114436132,0.33829003,-0.211774471
Stress,113,B,0.1938,,F,0.815226405,1.443780475,0.539730979,0.754745029,1.054257592,1.443780475,1.432738342,0.714414749,,,-0.267822654,-0.122199739,0.022946737,0.159501164,0.156166883,-0.146049588
Stress,113,C,0.1779,,F,1.129177813,0.77191723,0.814307578,1.082270595,0.564962655,0.77191723,0.546682522,0.88976758,,,-0.089211524,0.034335859,-0.247980259,-0.112429265,-0.262264811,-0.050723422
Stress,113,D,0.1871,,F,1.294091254,0.995287157,0.807749058,0.850113821,0.989355382,0.995287157,1.391951062,0.943765564,,,-0.09272354,-0.070522923,-0.004647679,-0.0020516,0.143623967,-0.025135873
Stress,113,E,0.1568,,M,0.778412089,1.074142003,0.514168239,0.753003211,0.690746097,1.074142003,0.807821523,0.741319365,,,-0.288894754,-0.123203172,-0.16068156,0.031061699,-0.09268458,-0.129994655
Stress,113,F,0.1495,,F,0.72628416,1.180871023,0.902487633,0.647249831,1.622135209,1.180871023,2.261231172,0.618352085,,,-0.044558741,-0.188928054,0.210087051,0.072202466,0.354344964,-0.20876417
Stress,113,G,0.1609,,F,1.08568533,1.180871023,0.457542945,0.965308009,0.627589916,1.180871023,0.708959518,0.799129068,,,-0.339568137,-0.015334091,-0.202324043,0.072202466,-0.149378563,-0.097383072
Control,116,A,0.2102,,F,0.917177384,0.631352691,1.073244714,1.406777912,0.804535179,0.631352691,0.152172035,1.175412466,,,0.030698758,0.148225541,-0.094454961,-0.199727964,-0.817665152,0.070190292
Control,116,B,0.1998,,M,1.133098034,0.618359641,1.031310723,0.794559917,0.823816015,0.618359641,0.472900473,1.185640886,,,0.013389533,-0.099873347,-0.08416977,-0.208758864,-0.325230252,0.073953167
Control,116,C,0.1801,,F,1.201863195,1.337789752,0.539107817,0.954220501,0.613255743,1.337789752,0.701626506,0.814037468,,,-0.268324371,-0.020351257,-0.212358376,0.126387865,-0.153894013,-0.089355605
Control,116,D,0.1942,,M,0.480277242,0.763051004,0.832378958,1.049033867,1.110513869,0.763051004,0.952929787,0.860452289,,,-0.079678907,0.020789509,0.045523987,-0.117446432,-0.020939098,-0.065273206
Control,116,E,0.2073,,F,0.599544753,1.091655816,0.797549371,0.805186332,0.539449847,1.091655816,0.53481376,0.847626406,,,-0.098242423,-0.094103606,-0.268048926,0.038085733,-0.271797427,-0.071795522
Control,116,F,0.2177,,M,0.666775355,1.037552783,0.699136341,0.636130466,0.939236737,1.037552783,0.467198805,0.798206411,,,-0.155438123,-0.196453804,-0.027224929,0.0160102,-0.330498277,-0.097884788
Control,116,G,0.2272,,M,0.949521575,0.950341585,1.056026277,0.714857665,1.082645363,0.950341585,1.184087058,0.76480672,,,0.023674725,-0.145780422,0.03448622,-0.022120266,0.073383634,-0.116448305
Control,116,H,0.1776,,F,1.105939669,1.433807555,0.836234267,1.140021675,0.53140882,1.433807555,0.575854068,0.815920468,,,-0.07767204,0.056913109,-0.274571242,0.156490864,-0.239687561,-0.088352172
Control,116,I,0.2039,,M,0.915060701,1.127544781,0.842050736,1.086027966,0.642259135,1.127544781,0.358598616,0.860452289,,,-0.07466174,0.035841009,-0.19228971,0.052133799,-0.445391391,-0.065273206
Stress,121,A,0.1522,,M,0.78563949,1.091655816,0.253252029,1.224671303,0.714279561,1.091655816,1.292748673,0.817807824,,,-0.596447066,0.088019541,-0.146131777,0.038085733,0.111514101,-0.087348739
Stress,121,B,0.1707,,M,0.626450615,0.821605683,0.391471468,1.326288461,0.723414328,0.821605683,1.282336736,0.801903443,,,-0.407299886,0.122637991,-0.140612894,-0.085336565,0.108002084,-0.095877922
Stress,121,C,0.1564,,M,0.753635774,1.1619259,1.133129226,1.125626284,1.213825256,1.1619259,2.222384574,0.811221112,,,0.054279441,0.051394226,0.08415617,0.065178432,0.346819214,-0.090860755
Stress,121,D,0.1223,,F,0.63372962,1.231017609,0.423953831,1.454706314,0.681236391,1.231017609,1.593400011,0.633536848,,,-0.372681436,0.162775324,-0.16670216,0.090264265,0.202324816,-0.19822812
Stress,121,E,0.1316,,F,0.688696072,1.205683633,0.701563567,1.019169909,0.694747549,1.205683633,1.292748673,0.750799939,,,-0.153932972,0.008246593,-0.158172977,0.081233365,0.111514101,-0.124475771
Stress,121,F,0.1316,,F,0.644062539,1.066722362,0.25150269,1.511234897,0.637822727,1.066722362,1.011929295,0.725224936,,,-0.599457365,0.179331974,-0.19530001,0.028051399,0.005150169,-0.139527272
Stress,121,G,0.1294,,F,1.088196696,1.384966806,0.197325011,1.895258438,0.445828498,1.384966806,0.97972029,0.983843287,,,-0.704817864,0.277668439,-0.350832174,0.141439365,-0.008897898,-0.007074073
Stress,121,H,0.1505,,F,0.86370229,1.197355368,0.217182395,1.774477877,0.606912628,1.197355368,1.23579704,0.787217267,,,-0.663175382,0.249070589,-0.216873826,0.078223066,0.091947151,-0.103905389
Control,122,A,0.217,,F,0.647045627,0.756031403,0.965030024,0.772386358,0.952347993,0.756031403,0.813440366,1.029183646,,,-0.015459175,-0.112165405,-0.021204329,-0.121460165,-0.08967428,0.012492877
Control,122,B,0.2182,,M,0.842027557,1.016200256,0.667564466,0.534919829,0.97912214,1.016200256,1.036779064,0.843718576,,,-0.175506789,-0.271711303,-0.009163129,0.0069793,0.015686219,-0.073802389
Control,122,C,0.2156,,F,1.336635429,1.112021539,2.002745453,0.769714104,1.345268435,1.112021539,1.307769689,0.913726163,,,0.301625754,-0.113670555,0.128808952,0.046113199,0.116531267,-0.03918394
Control,122,D,0.2113,,M,0.95391945,1.202901128,0.834304385,0.750398017,1.021881148,1.202901128,1.192323035,0.854508711,,,-0.078675474,-0.124708322,0.009400387,0.080229932,0.076393934,-0.068283506
Control,122,E,0.2155,,M,1.19080679,1.156569048,0.795708768,0.723999825,0.684391657,1.156569048,0.591359969,0.966941448,,,-0.099245856,-0.140261539,-0.164695293,0.063171566,-0.228148078,-0.014599823
Control,122,F,0.2304,,M,1.068267304,0.913737328,1.907891419,0.586036023,1.27270149,0.913737328,1.431084133,0.829223996,,,0.280553655,-0.232075688,0.104726553,-0.039178633,0.155665167,-0.081328139
Control,122,G,0.2278,,F,0.001118106,0.000215481,1.260193902,,0.17918984,0.000215481,0.348390009,0.7692372,,,0.100437374,,-0.746686618,-3.666591018,-0.457934308,-0.113939722
Control,122,H,0.1965,,M,1.088196696,1.298204863,0.440937393,0.874013774,0.764661995,1.298204863,0.464507938,0.943765564,,,-0.35562307,-0.058481723,-0.116530494,0.113343232,-0.33300686,-0.025135873
Control,122,I,0.2024,,M,0.701544255,0.911628584,0.739853945,0.662378578,0.99508666,0.911628584,1.039177301,0.96917814,,,-0.130854006,-0.178893722,-0.002139096,-0.040182066,0.016689652,-0.01359639
Control,123,A,0.1853,,M,0.842027557,1.228176638,4.4392,0.828780092,0.882434281,1.228176638,1.400014553,0.863439563,,,0.647304712,-0.08156069,-0.054317629,0.089260832,0.14613255,-0.063768056
Control,123,B,0.1821,,M,0.896229024,1.094180992,0.836234267,1.196699772,0.923101212,1.094180992,1.109909328,0.750799939,,,-0.07767204,0.077985208,-0.034750679,0.039089166,0.045287501,-0.124475771
Control,123,C,0.1859,,F,1.015323419,1.009180848,1.025963259,0.724836706,0.604114566,1.009180848,0.71968716,1.050808982,,,0.011131808,-0.139759822,-0.218880693,0.003969,-0.142856246,0.021523776
Control,123,D,0.2047,,M,0.719602791,0.745622895,1.613632896,1.038183349,1.068974479,0.745622895,1.723620095,0.989542633,,,0.207804739,0.016274059,0.028967337,-0.127480765,0.236441549,-0.00456549
Control,123,E,0.1994,,F,0.791104045,0.876515434,1.107248519,0.880093021,0.828109859,0.876515434,0.717197231,0.834991705,,,0.044245108,-0.055471423,-0.081912045,-0.057240432,-0.144361396,-0.078317839
Control,123,F,0.1992,,M,1.409587159,1.205683633,0.465003152,1.161289703,0.639298114,1.205683633,0.948536475,1.006839534,,,-0.332544103,0.064940575,-0.194296577,0.081233365,-0.022945964,0.00296026
Control,123,G,0.1905,,M,0.834281419,0.612671111,0.638155125,1.665237464,0.807328323,0.612671111,0.558814679,1.130139165,,,-0.195073739,0.221476173,-0.092949811,-0.212772597,-0.252732194,0.053131926
Control,123,H,0.1868,,M,0.908739915,0.716903777,0.745861191,1.428064612,0.907242886,0.716903777,1.02250542,0.991831606,,,-0.12734199,0.154747857,-0.042276429,-0.144539132,0.009665619,-0.003562056
Stress,126,A,0.1395,,M,1.239942042,1.216878166,0.246184596,0.828301509,0.560088771,1.216878166,0.985965103,0.539240379,,,-0.608739125,-0.081811547,-0.251743134,0.085247099,-0.006138456,-0.268217595
Stress,126,B,0.1623,,M,0.774823359,0.652108863,0.608633536,1.000504684,0.924168237,0.652108863,1.270540024,0.592478115,,,-0.215644121,0.000219126,-0.034248962,-0.185679897,0.103988351,-0.227327687
Stress,126,C,0.1767,,F,1.672422495,1.277377313,0.536002785,1.335513526,0.623975264,1.277377313,0.636739494,1.091642477,,,-0.270832954,0.125648291,-0.204832627,0.106319199,-0.196038212,0.038080426
Stress,126,D,0.1618,,M,1.133098034,1.307234592,0.577467797,1.281850419,0.440453232,1.307234592,0.554634202,0.947589272,,,-0.23847223,0.10783735,-0.356100199,0.116353532,-0.255993353,-0.023379865
Stress,126,E,0.1574,,M,1.248566521,1.289237507,0.380986663,1.043594506,0.708936056,1.289237507,0.83101235,0.752102104,,,-0.419090227,0.018531784,-0.149392935,0.110332932,-0.080392522,-0.123723196
Stress,126,F,0.1895,,F,0.641093204,1.15924438,0.562001441,0.733258903,0.814824206,1.15924438,1.082055994,0.668114421,,,-0.250262571,-0.134742655,-0.088936078,0.064174999,0.034249735,-0.175149154
Stress,126,G,0.1685,,F,0.616400251,1.009180848,0.66218783,0.893410173,0.974608072,1.009180848,1.805137196,0.726063233,,,-0.179018805,-0.048949107,-0.011169996,0.003969,0.256510215,-0.139025555
Stress,126,H,0.1803,,M,0.550420466,1.020906965,0.727143697,0.901705309,0.838700378,1.020906965,0.938725436,0.61054397,,,-0.138379756,-0.044935373,-0.076393161,0.008986167,-0.027461414,-0.214283054
Stress,126,I,,,F,1.123971941,1.268553823,0.430866369,0.82495915,1.123417419,1.268553823,1.366458669,0.718553312,,,-0.365657403,-0.083567556,0.050541153,0.103308898,0.1355965,-0.143541004
Stress,127,A,0.142,,F,1.30309237,1.394600012,0.286573888,1.3541566,0.446343837,1.394600012,0.811563089,0.772800056,,,-0.542763384,0.131668891,-0.350330457,0.144449665,-0.090677713,-0.111932855
Stress,127,B,0.1327,,M,1.177129208,1.460556396,0.233848444,1.088540125,0.544458532,1.460556396,0.572537392,0.951428472,,,-0.631065515,0.036844442,-0.264035192,0.164518331,-0.242196145,-0.021623856
Stress,127,C,0.1436,,M,,,,,,,,,,,,,,,,
Stress,127,D,0.1502,,M,0.78201744,1.216878166,0.250632556,1.170718798,0.60972365,1.216878166,2.059235015,0.789950287,,,-0.600962517,0.068452592,-0.214866959,0.085247099,0.313705914,-0.102400239
Stress,127,E,,,F,0.676083192,1.119756261,0.330329808,0.943260344,0.694747549,1.119756261,0.987675131,0.814037468,,,-0.481052235,-0.025368424,-0.158172977,0.049123499,-0.005385881,-0.089355605
Stress,127,F,0.1556,,M,0.699925215,1.170007734,0.440428297,0.740067066,1.610930303,1.170007734,3.395855702,0.489653727,,,-0.356124786,-0.130728922,0.207076751,0.068188733,0.530949228,-0.310110936
Stress,127,G,0.1712,,M,0.588564604,1.138013811,0.583166223,0.747801837,0.495249495,1.138013811,0.842126279,0.494771317,,,-0.234207638,-0.126213472,-0.305175959,0.056147533,-0.07462278,-0.305595485
Control,130,A,0.2256,,M,1.15024354,0.959165318,0.833341116,0.816426314,0.990498991,0.959165318,1.24152085,1.082850271,,,-0.07917719,-0.088083006,-0.004145963,-0.018106533,0.093954017,0.03456841
Control,130,B,0.1906,,F,0.512375247,0.616932576,0.704812981,0.813601694,0.482263683,0.616932576,0.362765331,1.228161631,,,-0.151926106,-0.089588156,-0.316715442,-0.209762297,-0.440374225,0.089255525
Control,130,C,0.2079,,F,0.765923754,0.827320402,0.638892777,1.107567471,0.911444939,0.827320402,0.716369171,0.85747535,,,-0.194572022,0.044370192,-0.040269562,-0.082326266,-0.144863112,-0.066778356
Control,130,D,0.2143,,M,1.129177813,1.18908463,0.796628538,0.974270702,1.181997849,1.18908463,0.866802462,1.016187839,,,-0.09874414,-0.011320357,0.072616686,0.075212765,-0.062079864,0.006973993
Control,130,E,0.1734,,F,0.527998604,0.899077924,1.014179066,0.82305529,0.960080586,0.899077924,1.307769689,0.618352085,,,0.006114642,-0.084570989,-0.017692312,-0.046202666,0.116531267,-0.20876417
Control,130,F,0.1997,,F,0.699925215,0.882612081,1.022413696,0.806117057,0.942497531,0.882612081,1.298736264,0.888740273,,,0.009626659,-0.093601889,-0.025719779,-0.054230132,0.113520967,-0.051225139
Control,130,G,0.1988,,F,0.78563949,0.920092874,1.093266964,0.380436592,1.804035103,0.920092874,1.388738685,0.777276841,,,0.038726225,-0.419717717,0.256244984,-0.036168333,0.142620533,-0.109424272
Control,130,H,0.1986,,M,0.828518617,3.062800502,0.395334491,0.650623387,0.384768005,3.062800502,0.222921627,0.553760391,,,-0.403035294,-0.18667033,-0.414801048,0.48611871,-0.651847796,-0.256678111
Control,130,I,0.1862,,F,1.046282681,1.228176638,0.463394363,0.66467819,0.583536206,1.228176638,0.687187242,1.126229181,,,-0.334049254,-0.177388571,-0.233932193,0.089260832,-0.162924912,0.051626776
Control,136,A,0.1762,23,M,0.869709815,1.180871023,0.567219512,0.948724596,0.631955149,1.180871023,0.801315242,0.829223996,,,-0.246248838,-0.02285984,-0.199313743,0.072202466,-0.096196596,-0.081328139
