dam_ID,day,ordered_day,Treatment,PRL,LH,TimeOfDay,,
102,5,a 5,Control,7.152151,0.33281864,AM,,
106,5,a 5,Control,3.648336,0.245402915,AM,,
108,5,a 5,Control,11.79126,0.289063809,AM,,
111,5,a 5,Control,13.32343,0.379594,AM,,
117,5,a 5,Control,24.82524,0.23958856,AM,,
128,5,a 5,Control,13.30167,0.609154435,AM,,
140,5,a 5,Control,15.32506,0.656557715,AM,,
146,5,a 5,Control,18.77962,0.303638315,AM,,
150,5,a 5,Control,23.56864,0.18153686,AM,,
56,10,b 10,Control,9.32904,0.28615016,AM,,
60,10,b 10,Control,10.00882,0.245402915,AM,,
65,10,b 10,Control,5.229575,0.494056709,AM,,
67,10,b 10,Control,9.197868,0.385448435,AM,,
82,10,b 10,Control,1.100568,0.175740875,AM,,
83,10,b 10,Control,4.497433,3.176197235,AM,,
84,10,b 10,Control,0,0.245402915,AM,,
159,10,b 10,Control,19.10084,0.164153915,AM,,
48B,10,b 10,Control,8.783621,0.303638315,AM,,
112,15,c 15,Control,0,0.392891225,AM,,
116,15,c 15,Control,1.892,0,AM,,
122,15,c 15,Control,1.495948,0,AM,,
123,15,c 15,Control,0,0,AM,,
130,15,c 15,Control,6.307962,0,AM,,
136,15,c 15,Control,0,0,AM,,
149,15,c 15,Control,0,0,AM,,
155,15,c 15,Control,1.902922,0,AM,,
156,15,c 15,Control,0,0,AM,,
101,5,a 5,Stress,27.12704,0.52056136,AM,,
103,5,a 5,Stress,7.025696,0.210541835,AM,,
107,5,a 5,Stress,28.89716,0.146786,AM,,
114,5,a 5,Stress,18.43657,0.763605875,AM,,
118,5,a 5,Stress,7.32139,,AM,,
119,5,a 5,Stress,9.833119,2.769994315,AM,,
129,5,a 5,Stress,18.2542,0.23958856,AM,,
135,5,a 5,Stress,20.0359,0.29780726,AM,,
138,5,a 5,Stress,17.33421,0.257036635,AM,,
151,5,a 5,Stress,23.38351,0.50877734,AM,,
158,5,a 5,Stress,21.66289,0.22796486,AM,,
55,10,b 10,Stress,7.983293,0.62691814,AM,,
57,10,b 10,Stress,4.878895,0.373741235,AM,,
68,10,b 10,Stress,0.915602,0.210541835,AM,,
86,10,b 10,Stress,1.920696,0.28615016,AM,,
30B,10,b 10,Stress,23.88105,1.589902435,AM,,
49B,10,b 10,Stress,1.60771,0.46170806,AM,,
50B,10,b 10,Stress,7.109954,0.455831915,AM,,
51B,10,b 10,Stress,4.744365,0.379594,AM,,
52B,10,b 10,Stress,2.590846,0.35619296,AM,,
113,15,c 15,Stress,2.297541,0,AM,,
121,15,c 15,Stress,10.76854,0,AM,,
126,15,c 15,Stress,3.946676,0,AM,,
127,15,c 15,Stress,1.748075,0.735427584,AM,,
137,15,c 15,Stress,2.181071,0,AM,,
139,15,c 15,Stress,,0.181380096,,,
147,15,c 15,Stress,4.683705,0,AM,,
148,15,c 15,Stress,0,0,AM,,
154,15,c 15,Stress,1.754865,0,AM,,
157,15,c 15,Stress,1.992223,0,AM,,