dam_ID,day,ordered_day,Treatment,PRL,LH,TimeOfDay
112,4,a 4,control,61.2866743,1.886635447,PM
116,4,a 4,control,28.35150457,0.408247072,PM
122,4,a 4,control,4.318433299,0,PM
123,4,a 4,control,32.24102321,0.379810805,PM
130,4,a 4,control,64.43396624,0.693887122,PM
136,4,a 4,control,31.51128472,0.289676201,PM
149,4,a 4,control,5.618379915,0,PM
155,4,a 4,control,14.42753307,0.329743844,PM
156,4,a 4,control,15.3194905,0.525653136,PM
113,4,a 4,stress,34.08295444,0.749133377,PM
121,4,a 4,stress,72.59290623,0,PM
126,4,a 4,stress,29.78000982,,PM
127,4,a 4,stress,62.49813361,0.329743844,PM
137,4,a 4,stress,23.32409639,0,PM
139,4,a 4,stress,6.889285196,,PM
147,4,a 4,stress,39.79395519,0,PM
148,4,a 4,stress,37.75628642,0.606945956,PM
154,4,a 4,stress,1.704522213,0,PM
157,4,a 4,stress,14.79897443,0,PM
112,9,b 9,control,3.385539857,0.490924836,PM
116,9,b 9,control,19.0664078,0.490924836,PM
122,9,b 9,control,18.86081621,0.514069604,PM
123,9,b 9,control,14.30060616,0.906163721,PM
130,9,b 9,control,61.2866743,,PM
136,9,b 9,control,6.880776,1.845214016,PM
149,9,b 9,control,3.407823718,0.187063169,PM
155,9,b 9,control,4.196417279,0,PM
156,9,b 9,control,7.182126108,0.107669225,PM
113,9,b 9,stress,2.4630446,0.147320676,PM
121,9,b 9,stress,4.890504291,,PM
126,9,b 9,stress,6.6898329,2.03525093,PM
127,9,b 9,stress,42.04097584,0,PM
137,9,b 9,stress,1.741309668,0,PM
139,9,b 9,stress,2.180614526,1.348916081,PM
147,9,b 9,stress,15.90301651,0,PM
148,9,b 9,stress,31.54947853,0.238294436,PM
154,9,b 9,stress,2.839461402,0,PM
157,9,b 9,stress,0,0.1359824,PM