Trt,damID,stressDuration,sacDay,AM_P4_ngml,AM_CORT_ngml,ordered_grp,,,
control,102,4,5,66.85250293,23.7119,a5 control,,,
control,106,4,5,72.6131531,,a5 control,,,
control,108,4,5,62.65749137,6.553945,a5 control,,,
control,111,4,5,46.19304582,3.95338,a5 control,,,
control,117,4,5,46.64563387,2.89743,a5 control,,,
control,128,4,5,69.23308933,4.25148,a5 control,,,
control,140,4,5,52.60902183,3.79111,a5 control,,,
control,146,4,5,84.4318024,3.2663,a5 control,,,
control,150,4,5,71.74490524,3.52057,a5 control,,,
stress,101,4,5,44.87200667,20.627,a5 stress,,,
stress,103,4,5,43.19199508,22.6343,a5 stress,,,
stress,107,4,5,33.25829065,14.98855,a5 stress,,,
stress,114,4,5,4.200191263,38.7014,a5 stress,,,
stress,118,4,5,3.500912984,55.4994,a5 stress,,,
stress,119,4,5,8.818210654,4.03668,a5 stress,,,
stress,129,4,5,28.11686722,19.5106,a5 stress,,,
stress,135,4,5,40.45682558,33.5502,a5 stress,,,
stress,138,4,5,31.86544889,30.5269,a5 stress,,,
stress,151,4,5,65.20516578,69.69975,a5 stress,,,
stress,158,4,5,61.07528622,16.9797,a5 stress,,,
control,56,9,10,87.8560083,27.275,b10 control,,,
control,60,9,10,64.59349556,5.8733,b10 control,,,
control,65,9,10,61.75561907,6.60837,b10 control,,,
control,67,9,10,57.21775421,5.26392,b10 control,,,
control,82,9,10,69.23308933,20.061,b10 control,,,
control,83,9,10,57.21775421,14.5019,b10 control,,,
control,84,9,10,86.69079928,4.90556,b10 control,,,
control,159,9,10,67.63206618,3.75143,b10 control,,,
control,48B,9,10,63.86597578,4.90556,b10 control,,,
stress,55,9,10,42.38490947,36.1988,b10 stress,,,
stress,57,9,10,82.18137643,38.2864,b10 stress,,,
stress,68,9,10,59.74768409,14.6371,b10 stress,,,
stress,86,9,10,49.99822251,12.41295,b10 stress,,,
stress,30B,9,10,52.60902183,20.8193,b10 stress,,,
stress,49B,9,10,59.74768409,43.0216,b10 stress,,,
stress,50B,9,10,52.07132795,37.2493,b10 stress,,,
stress,51B,9,10,56.01170041,24.8426,b10 stress,,,
stress,52B,9,10,57.21775421,11.596,b10 stress,,,
control,112,9,15,59.47118357,11.9631,c15 control,,,
control,116,9,15,47.93837223,7.46912,c15 control,,,
control,122,9,15,67.81822833,9.14622,c15 control,,,
control,123,9,15,50.89972055,9.6076,c15 control,,,
control,130,9,15,47.2342464,8.690265,c15 control,,,
control,136,9,15,63.45511161,11.67475,c15 control,,,
control,149,9,15,55.82293071,8.07874,c15 control,,,
control,155,9,15,38.13763856,13.08845,c15 control,,,
control,156,9,15,62.4253973,6.088605,c15 control,,,
stress,113,9,15,40.90119318,5.853765,c15 stress,,,
stress,121,9,15,67.81822833,16.0259,c15 stress,,,
stress,126,9,15,64.50848889,17.144,c15 stress,,,
stress,127,9,15,56.70566086,15.8719,c15 stress,,,
stress,137,9,15,70.15758497,16.6561,c15 stress,,,
stress,139,9,15,66.68925317,10.2048,c15 stress,,,
stress,147,9,15,65.58627672,8.94996,c15 stress,,,
stress,148,9,15,40.89215467,11.0526,c15 stress,,,
stress,154,9,15,38.66881293,22.2019,c15 stress,,,
stress,157,9,15,43.28548697,19.053,c15 stress,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,