Trt,damID,stressDuration,sacDay,PM_sample_dat,P4_ngml,CORT_ngml,ordered_grp,mass_dayofbleed,Mass_d10,Mass_d14
control,112,9,15,4,29.54443278,41.7917,4control,21.6,24.1,29.1
control,116,9,15,4,35.14037392,7.20579,4control,19.5,21.5,26.8
control,122,9,15,4,38.68806615,62.3223,4control,23,23.9,29.4
control,123,9,15,4,40.89215467,77.589,4control,19.9,21.6,25.8
control,130,9,15,4,39.76027199,39.8154,4control,23.8,26.4,31.7
control,136,9,15,4,32.65330895,15.88945,4control,20.4,21.6,25.6
control,149,9,15,4,39.20961211,33.1589,4control,19.6,21.4,26.3
control,155,9,15,4,33.04809196,59.96435,4control,20.8,23.1,27.4
control,156,9,15,4,37.87674943,16.4259,4control,22.2,22.8,27.5
stress,113,9,15,4,29.9914671,8.16242,4stress,19.3,20.3,25.6
stress,121,9,15,4,25.7488711,9.32073,4stress,18.9,19.9,26.1
stress,126,9,15,4,26.07309124,6.14516,4stress,20.7,21.6,27.5
stress,127,9,15,4,29.79897972,11.5599,4stress,18.2,19,24.8
stress,137,9,15,4,28.85476782,18.1613,4stress,20.5,21.2,28.7
stress,139,9,15,4,42.06650166,7.59201,4stress,19.7,19.9,25.1
stress,147,9,15,4,23.922129,8.316715,4stress,20.6,21.5,25.5
stress,148,9,15,4,28.12650307,11.0526,4stress,20,20.5,26
stress,154,9,15,4,29.22763545,19.09445,4stress,20.4,20.4,25.1
stress,157,9,15,4,18.34747023,,4stress,20.5,21.7,26.9
control,112,9,15,9,34.20867671,87.0233,9control,22.9,24.1,29.1
control,116,9,15,9,44.55142871,48.377,9control,21.7,21.5,26.8
control,122,9,15,9,50.75999992,25.3021,9control,23.7,23.9,29.4
control,123,9,15,9,37.10325632,58.3838,9control,21.3,21.6,25.8
control,130,9,15,9,51.67829501,42.1994,9control,25,26.4,31.7
control,136,9,15,9,34.90545596,45.05215,9control,21.8,21.6,25.6
control,149,9,15,9,51.67829501,48.8542,9control,21.4,21.4,26.3
control,155,9,15,9,34.90545596,27.3471,9control,22.6,23.1,27.4
control,156,9,15,9,45.53478791,46.75175,9control,22.9,22.8,27.5
stress,113,9,15,9,37.6158603,104.341,9stress,20.6,20.3,25.6
stress,121,9,15,9,19.46505883,82.5807,9stress,19.8,19.9,26.1
stress,126,9,15,9,31.59524272,49.3364,9stress,21.7,21.6,27.5
stress,127,9,15,9,13.81972906,9.711915,9stress,19.1,19,24.8
stress,137,9,15,9,28.85476782,37.9378,9stress,21,21.2,28.7
stress,139,9,15,9,19.93382826,89.821,9stress,19.9,19.9,25.1
stress,147,9,15,9,25.51566464,11.44305,9stress,21.8,21.5,25.5
stress,148,9,15,9,33.30816284,22.4148,9stress,20.8,20.5,26
stress,154,9,15,9,27.07600195,28.62895,9stress,20.8,20.4,25.1
stress,157,9,15,9,33.30816284,28.90375,9stress,22.1,21.7,26.9